Comments,Replies
"드가자!!!!!!!! 적어도 여기계신 구독자 분들은 이세돌멤버 각자각자 얼마나 노력을 하신지 다 아실겁니다, 처음 응원했던 순간같이 변함없이 응원하겠습니다!!  롱런하시고 좋은노래 좋은컨텐츠 너무 감사드립니다","드가자!!!!!!!! 적어도 여기계신 구독자 분들은 이세돌멤버 각자각자 얼마나 노력을 하신지 다 아실겁니다, 처음 응원했던 순간같이 변함없이 응원하겠습니다!!  롱런하시고 좋은노래 좋은컨텐츠 너무 감사드립니다"
"2000만 넘 축하드립니다!!
 진짜 넘 축하드려요!!





자 이제 3000만 가야겠지? 무한재생 가즈아~~","2000만 넘 축하드립니다!!
 진짜 넘 축하드려요!!





자 이제 3000만 가야겠지? 무한재생 가즈아~~"
리와인드는 진짜 다 좋지만 특히나 가사가 너무 좋아요. 뭔가 마음을 이끌게 하는 게 있는 것 같습니다. 넘나 킹아!,리와인드는 진짜 다 좋지만 특히나 가사가 너무 좋아요. 뭔가 마음을 이끌게 하는 게 있는 것 같습니다. 넘나 킹아!
"아 진짜 노래나 뮤비나 뭐나 너무 예쁘고 곱게 잘나와서 한동안 계속 들을 것 같아요........ 진짜 최고다,,, 이세돌 흥해라!!! 이세돌은 전설이다!!!","아 진짜 노래나 뮤비나 뭐나 너무 예쁘고 곱게 잘나와서 한동안 계속 들을 것 같아요........ 진짜 최고다,,, 이세돌 흥해라!!! 이세돌은 전설이다!!!"
이세돌분들 너무수고하셨고 촬영하시느라수고하신 북기님 매니저 뢴트님. 그리고 우리형 왁굳님도 너무수고하셨습니다 충생 이세돌 떡상기원,이세돌분들 너무수고하셨고 촬영하시느라수고하신 북기님 매니저 뢴트님. 그리고 우리형 왁굳님도 너무수고하셨습니다 충생 이세돌 떡상기원
"언제나 들어도 이노래만큼은 힐링이다
  마음이힘든게 녹는다녹아~~","언제나 들어도 이노래만큼은 힐링이다
  마음이힘든게 녹는다녹아~~"
"2000만 축하드립니다!! 벌써 2년이 지났네요..힘들때 마다 이세돌 노래,방송,유튜브 보면서 웃었는데 이세돌 오래가면 좋겠네요 다시 한번 RE:WIND 2000만 축하드립니다 왁굳형,이세돌,고멤들 사랑합니다","2000만 축하드립니다!! 벌써 2년이 지났네요..힘들때 마다 이세돌 노래,방송,유튜브 보면서 웃었는데 이세돌 오래가면 좋겠네요 다시 한번 RE:WIND 2000만 축하드립니다 왁굳형,이세돌,고멤들 사랑합니다"
"왁굳형 왈 ""악플이 있어야 유입이 있다는 증거다. 악플없이 좋다는 말만 있으면 유입없는 그사세라는 말이다. ""
악플에 굳이 댓글 달아서 머라할 필요 없음","왁굳형 왈 ""악플이 있어야 유입이 있다는 증거다. 악플없이 좋다는 말만 있으면 유입없는 그사세라는 말이다. ""
악플에 굳이 댓글 달아서 머라할 필요 없음"
"형 최초공개로 올리면 기대컨은 어케하라고ㅋㅋ

+ 진짜 형은 전설이다 형한텐 이게 40점짜리 뮤비라고? 또 다음 뮤비 기대하게만드네ㅋㅋㅋ","형 최초공개로 올리면 기대컨은 어케하라고ㅋㅋ

+ 진짜 형은 전설이다 형한텐 이게 40점짜리 뮤비라고? 또 다음 뮤비 기대하게만드네ㅋㅋㅋ"
"진짜 2000만이 되신걸 축하드립니다 진짜 리와인드 어디에서 들어도 울컥하다ㅠㅠ 
 언제나도 응원할게요!! 이파리","진짜 2000만이 되신걸 축하드립니다 진짜 리와인드 어디에서 들어도 울컥하다ㅠㅠ 
 언제나도 응원할게요!! 이파리"
