Comments,Replies
"개인적으로 요즘 남돌 노래 중에서 제일 좋다..
이게 케이팝이지.. 진짜","개인적으로 요즘 남돌 노래 중에서 제일 좋다..
이게 케이팝이지.. 진짜"
"와 개쩌네 버츄얼 아이돌이 음악방송 1위라니
역사를 쓰고 있는 중 ㄷㄷㄷ","와 개쩌네 버츄얼 아이돌이 음악방송 1위라니
역사를 쓰고 있는 중 ㄷㄷㄷ"
룩삼 방송보고 왔습니다. 노래 좋네요,룩삼 방송보고 왔습니다. 노래 좋네요
"왠만해선 댓글도 안달고, 아이돌에는 거의 관심도 없는 사람인데 처음으로 이렇게 글을 남겨봐요. 
아이돌이라는건 말그대로 우상이 되는, 동경의 대상의 되는 존재인데 언제부터인지 K팝은 외적인 요소로 그외의것들을 덮어버리는 느낌이었고 음악의 한 장르임에도 아티스트와는 별개인, 상품성이 짙은 분야로 느껴왔던것 같아요.
물론 비쥬얼적인 요소도 중요하고 그 또한 K팝의 매력이라고 생각은 합니다만, 뭐랄까 플레이브는 잊혀졌던 케이팝의 본질 그러니까 아이돌을 사람들이 정말 좋아했던 이유 (순수한열정, 도전과 꿈, 그리고  아름다운 노래)를 불러일으킨다는 점에서 모두가 좋아할수밖에 없는것 같아요.
사실 ㅎㅎ가뜩이나 요즘 K팝을 조금은 차가운 시선으로 보고있던상황에서 버츄얼 아이돌이라는 말을 듣고 편견가득한 생각으로 찾아본건데, 참 그게 부끄러워질만큼 멋지네요 정말!
앞으로 플레이브만의 꿈을 계속 보여줬으면 해요 
 응원합니다","왠만해선 댓글도 안달고, 아이돌에는 거의 관심도 없는 사람인데 처음으로 이렇게 글을 남겨봐요. 
아이돌이라는건 말그대로 우상이 되는, 동경의 대상의 되는 존재인데 언제부터인지 K팝은 외적인 요소로 그외의것들을 덮어버리는 느낌이었고 음악의 한 장르임에도 아티스트와는 별개인, 상품성이 짙은 분야로 느껴왔던것 같아요.
물론 비쥬얼적인 요소도 중요하고 그 또한 K팝의 매력이라고 생각은 합니다만, 뭐랄까 플레이브는 잊혀졌던 케이팝의 본질 그러니까 아이돌을 사람들이 정말 좋아했던 이유 (순수한열정, 도전과 꿈, 그리고  아름다운 노래)를 불러일으킨다는 점에서 모두가 좋아할수밖에 없는것 같아요.
사실 ㅎㅎ가뜩이나 요즘 K팝을 조금은 차가운 시선으로 보고있던상황에서 버츄얼 아이돌이라는 말을 듣고 편견가득한 생각으로 찾아본건데, 참 그게 부끄러워질만큼 멋지네요 정말!
앞으로 플레이브만의 꿈을 계속 보여줬으면 해요 
 응원합니다"
댓글 와우 이런 팬들은 요새 돈줘도 못구할텐데 ㅎ 팬들이 편지 쓰듯 다정하게 써준 댓글들 참 글솜씨들이 뛰어난 분들이 많네요 관련없는 내가 읽어도 감동 ㅎㅎ 보고 힘 많이 날듯ㅎ 부럽다ㅎ 인간이 태어나서 이렇게 좋은 글을 대량으로 받아볼 기회  생각보다 별로 없음  ~~ ㅎㅎ노래도 좋고 팬들 마음씨에 댓글 남겨보고 갑니다 딱 감미로운 봄날노래라 곧 거리에서 많이 틀울듯. ㅎㅎ,댓글 와우 이런 팬들은 요새 돈줘도 못구할텐데 ㅎ 팬들이 편지 쓰듯 다정하게 써준 댓글들 참 글솜씨들이 뛰어난 분들이 많네요 관련없는 내가 읽어도 감동 ㅎㅎ 보고 힘 많이 날듯ㅎ 부럽다ㅎ 인간이 태어나서 이렇게 좋은 글을 대량으로 받아볼 기회  생각보다 별로 없음  ~~ ㅎㅎ노래도 좋고 팬들 마음씨에 댓글 남겨보고 갑니다 딱 감미로운 봄날노래라 곧 거리에서 많이 틀울듯. ㅎㅎ
"정말 다른분들이 말씀하신대로 버추얼이어서 좋아하는게 아니고, 플레이브라서 좋아하는거임,, 얘네가 아니면 안됨. 멤버들의 인간성과 따스함에 빠져든거라. 좋아하고 보니 버추얼이었고, 이제 그냥 우리 애들을 이루는 모든것들이 좋음.","정말 다른분들이 말씀하신대로 버추얼이어서 좋아하는게 아니고, 플레이브라서 좋아하는거임,, 얘네가 아니면 안됨. 멤버들의 인간성과 따스함에 빠져든거라. 좋아하고 보니 버추얼이었고, 이제 그냥 우리 애들을 이루는 모든것들이 좋음."
솔직히 아직도 상당한 워너원 st 수요층이 있는데 왜 안나오나 했음 ㅋㅋㅋㅋ 요즘 남돌 노래 거의 안듣는데 유일하게 듣는 남돌임,솔직히 아직도 상당한 워너원 st 수요층이 있는데 왜 안나오나 했음 ㅋㅋㅋㅋ 요즘 남돌 노래 거의 안듣는데 유일하게 듣는 남돌임
노래 나온지는 한달 다됬는데 진짜 벚꽃구경하면서 들어야될거같은 곡임...,노래 나온지는 한달 다됬는데 진짜 벚꽃구경하면서 들어야될거같은 곡임...
"케이팝의 근본에 갈증 나 있던 사람들의 모임
플레이브가 모범답안이다","케이팝의 근본에 갈증 나 있던 사람들의 모임
플레이브가 모범답안이다"
버추얼 아이돌이란 이유로 자신들이 받는 비난은 괜찮지만 팬들이 받는 비난은 아프다고 더 열심히 하겠다던 말듣고 찡했었는데 말뿐만이 아닌 결과물로 보여주는 플레이브ㅠㅠ 뼈 갈아서 만든게 너무 잘보인다 정말 흠잡을 곳이 하나 없는 앨범이야 플리가 된게 너무 자랑스럽다 얘들아🥹🥹🥹,버추얼 아이돌이란 이유로 자신들이 받는 비난은 괜찮지만 팬들이 받는 비난은 아프다고 더 열심히 하겠다던 말듣고 찡했었는데 말뿐만이 아닌 결과물로 보여주는 플레이브ㅠㅠ 뼈 갈아서 만든게 너무 잘보인다 정말 흠잡을 곳이 하나 없는 앨범이야 플리가 된게 너무 자랑스럽다 얘들아🥹🥹🥹
