Comment,Keyword
이세돌 프로젝트는 시작부터 봐 와서 그런지 더욱 감동입니다 노래 만든다고 다들 고생많으셨고 좋은 노래 감사합니다 잘 듣겠습니다 ,Verb
한국 버튜버 뮤비가 천만은  역사적인데 ,Verb
"단순 팬아트로 그렸던 그림이 이렇게 기념비적인 데뷔곡의 뮤비 썸네일로까지 사용이 되어부리다니 너무 영광스럽네요
제 썸네일을 보고서 한분이라도 더 이 뮤직비디오를 봐주신다면 정말 행복할 것 같습니다
왁굳님하고 이세돌분들 이 외에 뮤비 촬영하고 편집에 도움주신 분들 전부 고생 많으셨고 멋진 뮤직비디오 만들어주셔서 감사합니다",Verb
키딩도 좋은데 리와인드가 진짜 레전드 인듯 리와인드만의 느낌이있다,Verb
아 맞아 이사람들 가수로 뽑힌거였지,Verb
드가자 적어도 여기계신 구독자 분들은 이세돌멤버 각자각자 얼마나 노력을 하신지 다 아실겁니다 처음 응원했던 순간같이 변함없이 응원하겠습니다  롱런하시고 좋은노래 좋은컨텐츠 너무 감사드립니다,Verb
"비챤 고세구 주르르 아바타를 영상 촬영에 적절하게 사용할수 있도록 여러 수정과 기능추가  전체적인 퀄리티 조정을 담담했습니다 
몇몇 의상들 새로운 컴포넌트 넣어서 작업도 새로 해보고 뮤비 분위기에 맞춰 표정도 새로 만들고 단순 의상 교체외적으로 이것저것 전체적으로 작업한건 정말 많았네요",Verb
"갠적으로 군무씬 대박이다
그리고 전체적인 뮤비 색감 자체도 너무 곡이랑 잘 어울려요
우리 형아 진짜 고생 많았다",Verb
"이제야 비로소 이해되는 뢴트님의 명언 아이돌에게 중요한 것은 스토리 입니다

뮤비를 보니 아이돌들의 성장 스토리가 눈 앞에 펼쳐지면서 눈물이 나네요",Verb
와 진짜 보면서 소름이 쫙 돋을정도로 너무 잘나왔어요 형은 최고야 이세돌최고야,Verb
이세돌분들 너무수고하셨고 촬영하시느라수고하신 북기님 매니저 뢴트님 그리고 우리형 왁굳님도 너무수고하셨습니다 충생 이세돌 떡상기원,Verb
"왜 자꾸 댓글이 사라지는걸까요
안녕하세요 싸비 하이라이트  안무을 맡은 현직 댄서로 일하고 있는 김정음이라고 합니다
평소 왁굳님 영상을 유튜브로 라이트하게 즐겨봤었는데 몇개월 전 커뮤니티에 올라온 안무 공모전 글을 보고 
한번 해보기나 할까 하고 안무를 짜서 올렸는데",Verb
"가 언제 나오는걸까 몰라서 드디어 보았습니다 너무 감동적입니다 정말로
품질이 너무 좋고 이렇게 만들 수 있다는 것이 정말 대단합니다
하이라이트의 부분에서 눈물이 나왔어요 춤도 정말 잘추는 멋있어요
앞으로도 많이 활동해주세요 감사합니다",Verb
"형 최초공개로 올리면 기대컨은 어케하라고

 진짜 형은 전설이다 형한텐 이게 점짜리 뮤비라고 또 다음 뮤비 기대하게만드네",Verb
군대에서 한달전부터 나혼자만 듣고있었는데 전파 성공해서 이제 우리 소대원들 거의다 저녁점호전에 춤 따라추고있음 지니로도 맨날 리와인드 듣는다 우왁굳은 신이다,Verb
앞으로도 계속 응원합니다 이세돌 화이팅,Verb
"하입덕부정기 끝났다애써 무시하며 지냈는데 어쩔 수 없었다
키딩 때 흠칫 했는데 데뷔곡 들어보고 맘 정했다 이세돌 사랑해",Verb
"재미로 하는 컨텐츠인줄 알았는데

엄청 본격적이네
이걸 실행으로 옮기는 왁굳님도 대단하고",Verb
확실히 리와인드가 근본이다 본점의 깊으면서도 담백한 맛,Verb
이세돌 분들 국내 최초 버츄얼 걸그룹이로서 부정적인 시선을 극복하고 존재하는 것이 자랑스럽습니다 앞으로 많은 곡 내 주세요 ,Verb
형이 직접 촬영하고 편집하고 파트짜고 작사하고 맵 찾아다니고  자체적으로 관련 지식인분들도 많이 도와주시고 진짜  가내수공업 낭만 그 자체인 뮤비라서 가끔 들어와서 볼 때마다 그 때 기억이 새록새록 남 내 인터넷 추억 여기 다 있네,Verb
"이세돌 업적

 멜론   차트 위 진입 실시간 차트 최고기록 위 갱신 멜론 차트진입 자체가 아이돌지망생들이나 실제 아이돌들에게도 꿈과 같은 일이고 진입조차 못하는 가수와 아이돌들이 수두룩한걸 보면 이례적으로 성공",Verb
아 진짜 노래나 뮤비나 뭐나 너무 예쁘고 곱게 잘나와서 한동안 계속 들을 것 같아요 진짜 최고다 이세돌 흥해라 이세돌은 전설이다,Verb
"그 시절 트로트가 가득하던 멜론차트에
제가 유일하게 골라듣던 노래였습니다
이게 벌써 년 반정도 되다니 믿기지 않습니다 이세돌 앞으로도 화이팅 킹애",Verb
"진짜 아이돌부터 사장 매니저 감독 직원 전원 가명에 비대면으로 참여해서 만들었네 이건 기록이다
정정합니다 드러머 곽준용님이 본명으로 참가하셨네요 기네스 기록 아깝스",Verb
나이키 아울렛에서 근무중인 팬치 입니다 브랜드 내의 멜론채널로 저작을 관리하기 때문에 틀어주는 걸 마냥 들어야 했는데 뚜둥 리와인드가 나왔어요  주말이라 정신없고 바빴는데 한줄기 힘이 되었습니다 감동  이세돌 화이팅 감사합니다,Verb
리와인드 제작파일 유출 보다가 감질나서 보러오게 되네요,Verb
"이 형이 개쩌는 이유
 지리는 기획력
 오지는 추진력
 완고한 고집",Verb
진짜 나름 돌판 고인물인데 기획력도 노래도 멤버분들도 웬만한 중소기획사보다 훨씬 낫네요 메타버스 선두주자 왁굳님 앞으로도 이세돌 활동 많이 시켜주세용 노래 너무 좋아요,Verb
